state,county,name,lat,lon
AL,Autauga,"Autauga, AL",32.536382,-86.64449
AL,Baldwin,"Baldwin, AL",30.659218,-87.746067
AL,Barbour,"Barbour, AL",31.87067,-85.405456
AL,Bibb,"Bibb, AL",33.015893,-87.127148
AL,Blount,"Blount, AL",33.977448,-86.567246
AL,Bullock,"Bullock, AL",32.101759,-85.717261
AL,Butler,"Butler, AL",31.751667,-86.681969
AL,Calhoun,"Calhoun, AL",33.771706,-85.822513
AL,Chambers,"Chambers, AL",32.917943,-85.391812
AL,Cherokee,"Cherokee, AL",34.069515,-85.654242
AL,Chilton,"Chilton, AL",32.85406,-86.726628
AL,Choctaw,"Choctaw, AL",31.991008,-88.248887
AL,Clarke,"Clarke, AL",31.685521,-87.818624
AL,Clay,"Clay, AL",33.267809,-85.862051
AL,Cleburne,"Cleburne, AL",33.671981,-85.516109
AL,Coffee,"Coffee, AL",31.402183,-85.989201
AL,Colbert,"Colbert, AL",34.703112,-87.801457
AL,Conecuh,"Conecuh, AL",31.428293,-86.992029
AL,Coosa,"Coosa, AL",32.931445,-86.243482
AL,Covington,"Covington, AL",31.243987,-86.448721
AL,Crenshaw,"Crenshaw, AL",31.732826,-86.319222
AL,Cullman,"Cullman, AL",34.131923,-86.869267
AL,Dale,"Dale, AL",31.430654,-85.609476
AL,Dallas,"Dallas, AL",32.33354,-87.114356
AL,DeKalb,"DeKalb, AL",34.460929,-85.803992
AL,Elmore,"Elmore, AL",32.597229,-86.142739
AL,Escambia,"Escambia, AL",31.121748,-87.168429
AL,Etowah,"Etowah, AL",34.047638,-86.03442
AL,Fayette,"Fayette, AL",33.732249,-87.752049
AL,Franklin,"Franklin, AL",34.441988,-87.842815
AL,Geneva,"Geneva, AL",31.090866,-85.824346
AL,Greene,"Greene, AL",32.844497,-87.964201
AL,Hale,"Hale, AL",32.752796,-87.623061
AL,Henry,"Henry, AL",31.516978,-85.239971
AL,Houston,"Houston, AL",31.158193,-85.296398
AL,Jackson,"Jackson, AL",34.763522,-85.9774
AL,Jefferson,"Jefferson, AL",33.553444,-86.896536
AL,Lamar,"Lamar, AL",33.787085,-88.087431
AL,Lauderdale,"Lauderdale, AL",34.904122,-87.650997
AL,Lawrence,"Lawrence, AL",34.529776,-87.321865
AL,Lee,"Lee, AL",32.604064,-85.353048
AL,Limestone,"Limestone, AL",34.810239,-86.9814
AL,Lowndes,"Lowndes, AL",32.147888,-86.650586
AL,Macon,"Macon, AL",32.387027,-85.692887
AL,Madison,"Madison, AL",34.764238,-86.55108
AL,Marengo,"Marengo, AL",32.247591,-87.791091
AL,Marion,"Marion, AL",34.138219,-87.881551
AL,Marshall,"Marshall, AL",34.309564,-86.321668
AL,Mobile,"Mobile, AL",30.684573,-88.196568
AL,Monroe,"Monroe, AL",31.580332,-87.383266
AL,Montgomery,"Montgomery, AL",32.203651,-86.203831
AL,Morgan,"Morgan, AL",34.454484,-86.846402
AL,Perry,"Perry, AL",32.639005,-87.293827
AL,Pickens,"Pickens, AL",33.296809,-88.096878
AL,Pike,"Pike, AL",31.798726,-85.941997
AL,Randolph,"Randolph, AL",33.296475,-85.464068
AL,Russell,"Russell, AL",32.289811,-85.18698
AL,St. Clair,"St. Clair, AL",33.712963,-86.315663
AL,Shelby,"Shelby, AL",33.262937,-86.678104
AL,Sumter,"Sumter, AL",32.597481,-88.200057
AL,Talladega,"Talladega, AL",33.369277,-86.175805
AL,Tallapoosa,"Tallapoosa, AL",32.863369,-85.799553
AL,Tuscaloosa,"Tuscaloosa, AL",33.290202,-87.52286
AL,Walker,"Walker, AL",33.791571,-87.301092
AL,Washington,"Washington, AL",31.406974,-88.202078
AL,Wilcox,"Wilcox, AL",31.99033,-87.302205
AL,Winston,"Winston, AL",34.155888,-87.364147
AK,Aleutians East,"Aleutians East, AK",55.243722,-161.950749
AK,Aleutians West [4],"Aleutians West [4], AK",51.959447,-178.338813
AK,Anchorage,"Anchorage, AK",61.177549,-149.274354
AK,Bethel [4],"Bethel [4], AK",60.928916,-160.15335
AK,Bristol Bay,"Bristol Bay, AK",58.731373,-156.986612
AK,Denali,"Denali, AK",63.682732,-150.026719
AK,Dillingham [4],"Dillingham [4], AK",59.824816,-158.602233
AK,Fairbanks North Star,"Fairbanks North Star, AK",64.690832,-146.599867
AK,Haines,"Haines, AK",59.099905,-135.578102
AK,Hoonah-Angoon [4],"Hoonah-Angoon [4], AK",58.076434,-135.1851
AK,Juneau,"Juneau, AK",58.3727,-134.178781
AK,Kenai Peninsula,"Kenai Peninsula, AK",60.366373,-152.321973
AK,Ketchikan Gateway,"Ketchikan Gateway, AK",55.449938,-131.106685
AK,Kodiak Island,"Kodiak Island, AK",57.553611,-153.630911
AK,Lake and Peninsula,"Lake and Peninsula, AK",58.205065,-156.705188
AK,Matanuska-Susitna,"Matanuska-Susitna, AK",62.182174,-149.407974
AK,Nome [4],"Nome [4], AK",64.783686,-164.188912
AK,North Slope,"North Slope, AK",69.449343,-153.47283
AK,Northwest Arctic,"Northwest Arctic, AK",67.005066,-160.021086
AK,Petersburg [4],"Petersburg [4], AK",56.639612,-133.527996
AK,Prince of Wales-Hyder [4],"Prince of Wales-Hyder [4], AK",55.415683,-132.875734
AK,Sitka,"Sitka, AK",57.142509,-135.332624
AK,Skagway,"Skagway, AK",59.575097,-135.335418
AK,Southeast Fairbanks [4],"Southeast Fairbanks [4], AK",63.864997,-143.218628
AK,Valdez-Cordova [4],"Valdez-Cordova [4], AK",61.34984,-145.023141
AK,Wade Hampton [4],"Wade Hampton [4], AK",62.283174,-163.19095
AK,Wrangell,"Wrangell, AK",56.279121,-132.040326
AK,Yakutat,"Yakutat, AK",59.999083,-140.239593
AK,Yukon-Koyukuk [4],"Yukon-Koyukuk [4], AK",65.376131,-151.576855
AZ,Apache,"Apache, AZ",35.385845,-109.493747
AZ,Cochise,"Cochise, AZ",31.881793,-109.75412
AZ,Coconino,"Coconino, AZ",35.829692,-111.773728
AZ,Gila,"Gila, AZ",33.789618,-110.81187
AZ,Graham,"Graham, AZ",32.931828,-109.87831
AZ,Greenlee,"Greenlee, AZ",33.238872,-109.242323
AZ,La Paz,"La Paz, AZ",33.727625,-114.038793
AZ,Maricopa,"Maricopa, AZ",33.346541,-112.495534
AZ,Mohave,"Mohave, AZ",35.717705,-113.749689
AZ,Navajo,"Navajo, AZ",35.390934,-110.320908
AZ,Pima,"Pima, AZ",32.128237,-111.783018
AZ,Pinal,"Pinal, AZ",32.91891,-111.367257
AZ,Santa Cruz,"Santa Cruz, AZ",31.525904,-110.84519
AZ,Yavapai,"Yavapai, AZ",34.630044,-112.573745
AZ,Yuma,"Yuma, AZ",32.773942,-113.910905
AR,Arkansas,"Arkansas, AR",34.289574,-91.376547
AR,Ashley,"Ashley, AR",33.190835,-91.772267
AR,Baxter,"Baxter, AR",36.28071,-92.330438
AR,Benton,"Benton, AR",36.337825,-94.256187
AR,Boone,"Boone, AR",36.304308,-93.079204
AR,Bradley,"Bradley, AR",33.463819,-92.168164
AR,Calhoun,"Calhoun, AR",33.56046,-92.513879
AR,Carroll,"Carroll, AR",36.337774,-93.541663
AR,Chicot,"Chicot, AR",33.267139,-91.297158
AR,Clark,"Clark, AR",34.053312,-93.176205
AR,Clay,"Clay, AR",36.367302,-90.418704
AR,Cleburne,"Cleburne, AR",35.566288,-92.059974
AR,Cleveland,"Cleveland, AR",33.893201,-92.188714
AR,Columbia,"Columbia, AR",33.21507,-93.226901
AR,Conway,"Conway, AR",35.265702,-92.689248
AR,Craighead,"Craighead, AR",35.828268,-90.630411
AR,Crawford,"Crawford, AR",35.583041,-94.236224
AR,Crittenden,"Crittenden, AR",35.211878,-90.315331
AR,Cross,"Cross, AR",35.291259,-90.773894
AR,Dallas,"Dallas, AR",33.967823,-92.653999
AR,Desha,"Desha, AR",33.828748,-91.244427
AR,Drew,"Drew, AR",33.587242,-91.722778
AR,Faulkner,"Faulkner, AR",35.146356,-92.324654
AR,Franklin,"Franklin, AR",35.508573,-93.887672
AR,Fulton,"Fulton, AR",36.383443,-91.819239
AR,Garland,"Garland, AR",34.578861,-93.146915
AR,Grant,"Grant, AR",34.288063,-92.423984
AR,Greene,"Greene, AR",36.119922,-90.565241
AR,Hempstead,"Hempstead, AR",33.728611,-93.665809
AR,Hot Spring,"Hot Spring, AR",34.315177,-92.944147
AR,Howard,"Howard, AR",34.083179,-93.990988
AR,Independence,"Independence, AR",35.737499,-91.559942
AR,Izard,"Izard, AR",36.094879,-91.913625
AR,Jackson,"Jackson, AR",35.596605,-91.223178
AR,Jefferson,"Jefferson, AR",34.277696,-91.930701
AR,Johnson,"Johnson, AR",35.573359,-93.466322
AR,Lafayette,"Lafayette, AR",33.24066,-93.611643
AR,Lawrence,"Lawrence, AR",36.041098,-91.101153
AR,Lee,"Lee, AR",34.77975,-90.779288
AR,Lincoln,"Lincoln, AR",33.957665,-91.727624
AR,Little River,"Little River, AR",33.699497,-94.229774
AR,Logan,"Logan, AR",35.21855,-93.720563
AR,Lonoke,"Lonoke, AR",34.755114,-91.894132
AR,Madison,"Madison, AR",36.012545,-93.724053
AR,Marion,"Marion, AR",36.266656,-92.678588
AR,Miller,"Miller, AR",33.305505,-93.901509
AR,Mississippi,"Mississippi, AR",35.766943,-90.052209
AR,Monroe,"Monroe, AR",34.679513,-91.203314
AR,Montgomery,"Montgomery, AR",34.545652,-93.664147
AR,Nevada,"Nevada, AR",33.666699,-93.305072
AR,Newton,"Newton, AR",35.910063,-93.215084
AR,Ouachita,"Ouachita, AR",33.591158,-92.878418
AR,Perry,"Perry, AR",34.946363,-92.926877
AR,Phillips,"Phillips, AR",34.425842,-90.848386
AR,Pike,"Pike, AR",34.158191,-93.658659
AR,Poinsett,"Poinsett, AR",35.568981,-90.680595
AR,Polk,"Polk, AR",34.490915,-94.230884
AR,Pope,"Pope, AR",35.455297,-93.031535
AR,Prairie,"Prairie, AR",34.828225,-91.5572
AR,Pulaski,"Pulaski, AR",34.773988,-92.316515
AR,Randolph,"Randolph, AR",36.341299,-91.028441
