,name,state,population,poverty_%,la_kids_%,la_novehicle_%,la_snap_%,fips
0,Abbeville County,SC,25417,22.32,20.7,3.59,7.37,45001
1,Acadia Parish,LA,61773,24.32,19.44,1.62,4.35,22001
2,Accomack County,VA,33164,19.82,19.55,4.21,5.59,51001
3,Ada County,ID,392365,11.35,20.43,0.83,1.87,16001
4,Adair County,IA,7682,9.23,15.84,1.21,3.71,19001
5,Adair County,KY,18656,21.55,20.66,1.63,5.71,21001
6,Adair County,MO,25607,29.7,16.89,2.03,3.33,29001
7,Adair County,OK,22683,29.34,24.05,1.93,7.03,40001
8,Adams County,CO,441603,11.65,19.74,0.91,2.1,8001
9,Adams County,IA,4029,11.57,14.35,0.6,2.31,19003
10,Adams County,ID,3976,11.06,14.79,1.06,2.16,16003
11,Adams County,IL,67103,12.71,17.51,1.94,3.57,17001
12,Adams County,IN,34387,16.49,29.63,3.58,2.41,18001
13,Adams County,MS,32297,34.1,19.29,2.92,7.2,28001
14,Adams County,ND,2343,8.34,11.31,0.55,0.85,38001
15,Adams County,NE,31364,13.28,19.45,1.64,3.21,31001
16,Adams County,OH,28550,23.03,22.47,3.26,8.71,39001
17,Adams County,PA,101407,9.3,18.78,1.18,2.26,42001
18,Adams County,WA,18728,25.06,23.3,1.15,3.98,53001
19,Adams County,WI,20875,14.91,15.63,1.58,6.78,55001
20,Addison County,VT,36821,7.95,18.49,1.16,3.23,50001
21,Aiken County,SC,160099,16.3,20.48,1.98,4.83,45003
22,Aitkin County,MN,16202,12.86,17.13,2.33,4.65,27001
23,Alachua County,FL,247336,22.92,14.95,1.96,3.25,12001
24,Alamance County,NC,151131,16.84,19.44,1.6,4.91,37001
25,Alameda County,CA,1510271,10.87,10.17,1.0,0.85,6001
26,Alamosa County,CO,15445,23.17,19.23,2.32,6.66,8003
27,Albany County,NY,304204,11.93,15.11,3.45,3.26,36001
28,Albany County,WY,36299,24.78,14.07,1.16,1.24,56001
29,Albemarle County,VA,98970,12.25,17.9,0.99,1.29,51003
30,Alcona County,MI,10942,16.0,13.51,1.71,6.28,26001
31,Alcorn County,MS,37057,17.49,21.96,1.58,5.09,28003
32,Aleutians East Borough,AK,3141,15.37,11.46,4.17,2.2,2013
33,Aleutians West Census Area,AK,5561,9.2,10.83,2.86,1.11,2016
34,Alexander County,IL,8238,29.59,22.88,3.37,9.69,17003
35,Alexander County,NC,37198,14.61,21.35,1.2,4.37,37003
36,Alexandria city,VA,139966,10.57,4.12,0.51,0.33,51510
37,Alfalfa County,OK,5642,8.44,13.67,0.76,1.88,40003
38,Alger County,MI,9601,11.47,14.39,2.14,3.98,26003
39,Allamakee County,IA,14330,9.26,16.5,1.03,2.75,19005
40,Allegan County,MI,111408,10.4,23.22,1.37,2.42,26005
41,Allegany County,MD,75087,16.5,15.75,2.97,6.18,24001
42,Allegany County,NY,48946,17.27,18.45,2.52,4.89,36003
43,Alleghany County,NC,11155,24.33,19.19,1.51,7.78,37005
44,Alleghany County,VA,16250,20.38,20.03,2.58,5.22,51005
45,Allegheny County,PA,1223348,12.72,14.42,3.28,3.55,42003
46,Allen County,IN,355329,14.47,22.27,1.87,3.39,18003
47,Allen County,KS,13371,16.54,17.81,1.57,3.1,20001
48,Allen County,KY,19956,19.06,23.54,2.45,4.53,21003
49,Allen County,OH,106331,15.09,19.08,2.2,3.93,39003
50,Allen Parish,LA,25764,19.52,19.58,2.03,4.69,22003
51,Allendale County,SC,10419,27.11,19.09,5.31,9.73,45005
52,Alpena County,MI,29598,14.54,18.13,2.51,5.78,26007
53,Alpine County,CA,1175,19.81,21.79,2.55,4.94,6003
54,Amador County,CA,38091,9.3,13.94,1.71,2.63,6005
55,Amelia County,VA,12690,13.38,22.17,1.28,4.03,51007
56,Amherst County,VA,32353,13.74,19.45,1.54,3.12,51009
57,Amite County,MS,13131,24.0,20.68,2.35,7.77,28005
58,Anchorage Municipality,AK,291826,9.29,18.86,1.23,2.03,2020
59,Anderson County,KS,8102,13.91,22.08,2.36,2.32,20003
60,Anderson County,KY,21421,14.01,22.69,1.35,3.95,21005
61,Anderson County,SC,187126,15.33,21.51,2.46,4.88,45007
62,Anderson County,TN,75129,16.41,18.52,1.68,5.86,47001
63,Anderson County,TX,58458,14.12,16.76,1.34,2.94,48001
64,Andrew County,MO,17291,8.65,20.09,1.22,2.03,29003
65,Andrews County,TX,14786,10.46,24.37,1.02,2.16,48003
66,Androscoggin County,ME,107702,14.06,16.63,1.62,4.46,23001
67,Angelina County,TX,86771,18.42,23.31,1.71,6.01,48005
68,Anne Arundel County,MD,537656,5.97,17.58,0.88,1.57,24003
69,Anoka County,MN,330844,6.15,22.13,1.36,2.09,27003
70,Anson County,NC,26948,19.02,21.05,3.45,7.3,37007
71,Antelope County,NE,6685,12.65,17.17,0.7,2.21,31003
72,Antrim County,MI,23580,12.11,17.98,1.34,3.77,26009
73,Apache County,AZ,71518,35.13,30.23,3.74,7.81,4001
74,Appanoose County,IA,12887,16.15,16.35,1.86,3.86,19007
75,Appling County,GA,18236,23.07,24.4,2.93,6.84,13001
76,Appomattox County,VA,14973,13.51,21.8,2.04,5.91,51011
77,Aransas County,TX,23158,19.66,18.6,1.84,5.13,48007
78,Arapahoe County,CO,572003,9.06,16.25,0.87,1.32,8005
79,Archer County,TX,9054,9.73,21.14,1.02,2.07,48009
80,Archuleta County,CO,12084,10.53,19.33,0.48,3.28,8007
81,Arenac County,MI,15899,18.11,18.66,2.18,7.57,26011
82,Arkansas County,AR,19019,19.95,20.65,3.76,6.33,5001
83,Arlington County,VA,207627,7.09,5.98,0.89,0.37,51013
84,Armstrong County,PA,68941,11.75,18.46,2.05,5.26,42005
85,Armstrong County,TX,1901,7.32,22.25,0.53,1.05,48011
86,Aroostook County,ME,71870,17.32,15.71,2.41,6.98,23003
87,Arthur County,NE,460,10.29,27.17,0.0,1.09,31005
88,Ascension Parish,LA,107215,11.86,24.2,1.13,3.28,22005
89,Ashe County,NC,27281,17.95,18.75,2.57,5.99,37009
90,Ashland County,OH,53139,13.33,19.66,1.69,2.9,39005
91,Ashland County,WI,16157,14.19,16.41,2.07,5.58,55003
92,Ashley County,AR,21853,20.42,21.38,2.77,6.61,5003
93,Ashtabula County,OH,101497,20.23,20.62,3.16,6.18,39007
94,Asotin County,WA,21623,12.96,14.98,1.1,4.54,53003
95,Assumption Parish,LA,23421,17.18,23.12,2.43,5.56,22007
96,Atascosa County,TX,44911,15.19,25.56,2.0,4.96,48013
97,Atchison County,KS,16924,17.04,20.93,2.12,2.98,20005
98,Atchison County,MO,5685,10.39,16.71,1.65,3.17,29005
99,Athens County,OH,64757,36.98,14.16,2.4,6.02,39009
100,Atkinson County,GA,8375,29.33,27.2,2.85,7.3,13003
101,Atlantic County,NJ,274549,14.18,17.1,2.85,3.43,34001
102,Atoka County,OK,14182,19.73,19.64,1.74,5.8,40005
103,Attala County,MS,19564,23.67,23.65,3.39,7.67,28007
104,Audrain County,MO,25529,15.4,21.78,1.89,3.2,29007
105,Audubon County,IA,6119,10.12,19.48,1.39,3.07,19009
106,Auglaize County,OH,45949,8.7,19.52,1.48,2.09,39011
107,Augusta County,VA,73750,9.44,19.88,1.53,2.66,51015
108,Aurora County,SD,2710,7.34,24.02,0.48,1.73,46003
109,Austin County,TX,28417,10.9,22.02,1.41,2.85,48015
110,Autauga County,AL,54571,15.14,24.34,1.91,4.28,1001
111,Avery County,NC,17797,14.13,16.78,1.33,5.05,37011
112,Avoyelles Parish,LA,42073,24.53,23.05,2.8,7.08,22009
113,Baca County,CO,3788,19.51,14.63,1.29,3.88,8009
114,Bacon County,GA,11096,27.21,24.47,2.01,6.48,13005
115,Bailey County,TX,7165,14.51,21.34,0.99,3.6,48017
116,Baker County,FL,27115,14.59,24.72,0.55,5.54,12003
117,Baker County,GA,3451,21.55,23.21,3.22,4.38,13007
118,Baker County,OR,16134,15.42,16.94,2.34,6.68,41001
119,Baldwin County,AL,182265,10.95,21.0,1.19,2.76,1003
120,Baldwin County,GA,45720,27.77,18.86,2.46,5.25,13009
121,Ballard County,KY,8249,17.08,19.43,2.5,4.73,21007
122,Baltimore County,MD,805029,9.95,15.06,1.52,2.38,24005
123,Baltimore city,MD,620961,21.93,10.14,4.59,4.33,24510
124,Bamberg County,SC,15987,26.28,20.51,3.24,7.32,45009
125,Bandera County,TX,20485,14.79,19.11,0.71,4.23,48019
126,Banks County,GA,18395,13.48,25.24,1.87,4.73,13011
127,Banner County,NE,690,9.65,22.32,1.01,2.46,31007
128,Bannock County,ID,82839,17.28,22.93,1.3,3.68,16005
129,Baraga County,MI,8860,16.32,17.92,1.85,5.17,26013
130,Barber County,KS,4861,15.59,14.73,1.79,2.37,20007
131,Barbour County,AL,27457,29.34,18.0,2.7,8.14,1005
132,Barbour County,WV,16589,23.2,20.37,3.06,6.26,54001
133,Barnes County,ND,11066,10.61,14.5,1.72,1.87,38003
134,Barnstable County,MA,215888,6.97,15.04,1.58,2.47,25001
135,Barnwell County,SC,22621,26.15,22.62,3.88,8.04,45011
136,Barren County,KY,42173,23.6,20.65,1.69,5.13,21009
137,Barron County,WI,45870,12.01,19.02,1.9,4.74,55005
138,Barrow County,GA,69367,12.18,25.29,0.87,4.01,13013
139,Barry County,MI,59173,8.67,22.46,1.14,3.06,26015
140,Barry County,MO,35597,20.92,22.82,1.8,5.0,29009
141,Bartholomew County,IN,76794,13.25,22.52,1.4,3.34,18005
142,Barton County,KS,27674,16.94,18.66,1.88,2.51,20009
143,Barton County,MO,12402,20.88,25.79,3.2,6.26,29011
144,Bartow County,GA,100157,13.04,25.14,1.4,4.42,13015
145,Bastrop County,TX,74171,10.08,25.09,1.38,3.74,48021
146,Bates County,MO,17049,12.39,22.87,1.7,4.78,29013
147,Bath County,KY,11591,20.91,24.45,3.55,9.04,21011
148,Bath County,VA,4731,11.29,16.21,1.14,4.1,51017
149,Baxter County,AR,41513,13.95,15.74,1.28,4.02,5005
150,Bay County,FL,168852,14.89,17.92,2.06,4.46,12005
151,Bay County,MI,107771,16.08,17.84,2.34,4.64,26017
152,Bayfield County,WI,15014,11.48,16.34,1.04,4.09,55007
153,Baylor County,TX,3726,10.93,13.29,0.75,3.89,48023
